,metal,linker_SMILES
223,Cu,O=C(O)c1ccc(-c2cc(C(=O)O)cc(-c3ccc(C(=O)O)cc3)c2)cc1
224,Cu,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3cc(C(=O)O)cc(C(=O)O)c3)c2)cc1
225,Zn,O=C(O)c1ccc(-c2cc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc(-c3cc(C(=O)O)cc(C(=O)O)c3)c2)cc1
226,Zn,O=C(O)c1cc(C(=O)O)cc(-c2cc(C(=O)O)c(C(=O)O)cc2-c2cc(C(=O)O)cc(C(=O)O)c2)c1
227,Na,O=C(O)CC(O)(CC(=O)O)C(=O)O
228,Mn,O=C(CC(=O)C(F)(F)F)c1ccc(-c2ccncc2)cc1
229,Eu,O=C(O)c1ccc(-c2ccc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc2)cc1
230,Tb,O=C(O)c1ccc(-c2ccc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc2)cc1
231,La,O=C(O)c1ccc(-c2ccc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc2)cc1
232,Eu,O=C(O)c1ccc(-c2ccc(-c3ccc(-c4cc(C(=O)O)cc(C(=O)O)c4)cc3)cc2)cc1
233,Tb,O=C(O)c1ccc(-c2ccc(-c3ccc(-c4cc(C(=O)O)cc(C(=O)O)c4)cc3)cc2)cc1
234,La,O=C(O)c1ccc(-c2ccc(-c3ccc(-c4cc(C(=O)O)cc(C(=O)O)c4)cc3)cc2)cc1
235,La,O=C(O)c1ccc(-c2cc(C(=O)O)cc(C(=O)O)c2)cc1
236,Zn,O=C(O)c1ccc(C(=O)O)s1
237,Cd,O=C(O)COc1cc(C(=O)O)cc(C(=O)O)c1
238,Cu,O=C(O)c1cc(O)c(-c2c(O)cc(C(=O)O)cc2O)c(O)c1
239,Zn,CC(C)C[C@H](NCc1ccncc1)C(=O)O
240,K,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
241,Zn,O=C(O)c1ccc(-n2cnnc2)cc1
242,Ba,O=C(O)c1cc(C(=O)O)cc(S(O)(O)O)c1
243,Ni,O=C(O)/C=C/c1cccnc1
244,Co,O=C(O)CCc1cccnc1
245,Co,O=C(O)/C=C/c1cccnc1
246,Pb,O=C(O)c1c[nH]c(=O)[nH]c1=O
247,Co,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O
248,Zn,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O
249,Ba,n1n[nH]c(NNc2nn[nH]n2)n1
250,Cd,O=C(O)c1ccc(-c2cc(-c3ccncc3)cc(-c3ccc(C(=O)O)cc3)n2)cc1
251,Cu,O=C(O)c1ccc(-c2cc(-c3ccncc3)cc(-c3ccc(C(=O)O)cc3)n2)cc1
252,Zn,Cc1nnn[nH]1
253,La,O=C(O)c1cccc(C(=O)O)n1
254,Sm,O=C(O)c1cccc(C(=O)O)n1
255,Cd,O=C(O)c1ccncc1C(=O)O
256,Co,c1c(-c2nn[nH]n2)cc(-c2nnn[nH]2)cc1-c1nnn[nH]1
257,Co,c1c(-c2c[nH]nn2)cc(-c2cnn[nH]2)cc1-c1cnn[nH]1
258,Co,c1c(C2=NNNN2)cc(C2=NNNN2)cc1C1=NNNN1
259,Co,c1c(-c2c[nH]nn2)cc(-c2cnn[nH]2)cc1-c1cn[nH]n1
260,Co,c1n[nH]cc1-c1cc(-c2cn[nH]c2)cc(-c2cn[nH]c2)c1
261,Co,c1c(-c2c[nH]nn2)cc(-c2cn[nH]n2)cc1-c1c[nH]nn1
262,Zn,O=C(O)c1ccc2cc(-c3nnn[nH]3)ccc2c1
263,Cd,O=C(O)c1ccc2cc(-c3nnn[nH]3)ccc2c1
264,Na,OS(O)(O)c1c(Cl)c(Cl)c(S(O)(O)O)c(Cl)c1Cl
