,2253
1101,-0.0037945411
1102,-0.0052210754
1103,-0.004416439
1104,-0.0063861283
1105,-0.0007746072
1106,-0.00094747543
1107,-0.0032253095
1108,-0.0047105937
1109,-0.0020504307
1110,-0.0022424369
1111,-0.003472351
1112,-0.0023151608
1113,-0.0015897426
1114,-0.001514266
1115,-0.0010895889
1116,-0.0057696523
1117,-0.0044304975
1118,-0.0013930984
1119,-0.0021670666
1120,-0.0050821747
1121,-0.005425386
1122,-0.0027192815
1123,-0.0012312419
1124,-0.00579887
1125,-0.005214721
1126,-0.007836542
1127,-0.004504324
1128,-0.0061933557
1129,-0.003447162
1130,-0.0023700034
1131,-0.0024142894
1132,-0.0011747058
1133,-0.001133103
1134,-0.0013020084
1135,-0.0011026917
1136,-0.0044465363
1137,-0.0071247974
1138,-0.003499852
1139,-0.0033653197
1140,-0.0011029858
1141,-0.0028430673
1142,-0.0051635676
1143,-0.0011845257
1144,-0.0012789872
1145,-0.0037971218
1146,-0.0014645235
1147,-0.0016356661
1148,-0.003403104
1149,-0.004373499
1150,-0.0005174819
1151,-0.0051741484
1152,-0.002954538
1153,-0.005001242
1154,-0.0035749122
1155,-0.0016152357
1156,-0.0013424626
1157,-0.0015888984
1158,-0.0031430498
1159,-0.0060519935
1160,-0.0029321536
1161,-0.0029848195
1162,-0.0058822953
1163,-0.0020411173
1164,-0.0025934882
1165,-0.002899387
1166,-0.004414736
1167,-0.001161657
1168,-0.0022091202
1169,-0.0010014654
1170,-0.0020289079
1171,-0.0050309976
1172,-0.0005416734
1173,-0.002394587
1174,-0.0065359664
1175,-0.0014620991
1176,-0.0032760387
1177,-0.0010519132
1178,-0.0014715145
1179,-0.0033026908
1180,-0.0011721865
1181,-0.0055075176
1182,-0.0021250283
1183,-0.0030865108
1184,-0.0030045873
1185,-0.0026491976
1186,-0.0017273902
1187,-0.002319977
1188,-0.005968023
1189,-0.005528627
1190,-0.0019781925
1191,-0.0012775833
1192,-0.003929207
1193,-0.005809511
1194,-0.0015819636
1195,-0.0021767765
1196,-0.0035256988
1197,-0.004598252
1198,-0.004969432
1199,-0.0028118761
1200,-0.007805558
1201,-0.0032469376
1202,-0.0065681916
1203,-0.00459335
1204,-0.0009528929
1205,-0.003542587
1206,-0.0020775269
1207,-0.0032254488
1208,-0.0033259504
1209,-0.001374438
1210,-0.0006863002
1211,-0.0028300972
1212,-0.0031634187
1213,-0.0049389913
1214,-0.005841373
1215,-0.0014562489
1216,-0.0023714644
1217,-0.0015285655
1218,-0.004411157
1219,-0.0012339855
1220,-0.002173603
1221,-0.0022217021
1222,-0.0013442033
1223,-0.0027475008
1224,-0.0026844747
1225,-0.0017313912
1226,-0.003155012
1227,-0.006395623
1228,-0.0011190597
1229,-0.0037896933
1230,-0.0009711613
1231,-0.004617237
1232,-0.0018168471
1233,-0.0044519342
